key,kind,eventStableId,choiceStableId,sourceRow,text,previewOrResultHint,background,notes
EVT_F01_JAR_ROOM_BODY,body,EVT_F01_JAR_ROOM,,2,"항아리들이 잔뜩 있는 방이다. 항아리들 마다 신기한 냄새가 난다.
어떤 항아리를 열어볼까?
",,단지들이 잔뜩 있는 창고,
CHOICE_EVT_F01_JAR_ROOM_PATTERNED_TEXT,choiceLabel,EVT_F01_JAR_ROOM,CHOICE_EVT_F01_JAR_ROOM_PATTERNED,3,신기한 문양이 각인 된 항아리,80% 확률 골드 획득,,
CHOICE_EVT_F01_JAR_ROOM_PATTERNED_RESULT,resultText,EVT_F01_JAR_ROOM,CHOICE_EVT_F01_JAR_ROOM_PATTERNED,3,"항아리를 열자, 안에서 빛나는 동전을 발견 할 수 있었다.",80% 확률 골드 획득,,
CHOICE_EVT_F01_JAR_ROOM_PATTERNED_ELITE_COMBAT_TEXT,choiceLabel,EVT_F01_JAR_ROOM,CHOICE_EVT_F01_JAR_ROOM_PATTERNED_ELITE_COMBAT,4,신기한 문양이 각인 된 항아리,20% 확률 엘리트 전투,,
CHOICE_EVT_F01_JAR_ROOM_PATTERNED_ELITE_COMBAT_RESULT,resultText,EVT_F01_JAR_ROOM,CHOICE_EVT_F01_JAR_ROOM_PATTERNED_ELITE_COMBAT,4,"항아리를 열자, 외부의 신기한 문양들이 항아리 안으로 흘러들어가더니 이윽고 흉악한 모습을 한 채 나를 덮쳐왔다.",20% 확률 엘리트 전투,,
CHOICE_EVT_F01_JAR_ROOM_PLAIN_TEXT,choiceLabel,EVT_F01_JAR_ROOM,CHOICE_EVT_F01_JAR_ROOM_PLAIN,5,평범한 항아리,체력 // 스테미나 회복,,
CHOICE_EVT_F01_JAR_ROOM_PLAIN_RESULT,resultText,EVT_F01_JAR_ROOM,CHOICE_EVT_F01_JAR_ROOM_PLAIN,5,"항아리를 열어보니, 아직 신선한 고기와 야채들이 저장 돼 있었다.",체력 // 스테미나 회복,,
CHOICE_EVT_F01_JAR_ROOM_CRACKED_TEXT,choiceLabel,EVT_F01_JAR_ROOM,CHOICE_EVT_F01_JAR_ROOM_CRACKED,6,금 간 항아리,3번의 전투 데미지 버프,,
CHOICE_EVT_F01_JAR_ROOM_CRACKED_RESULT,resultText,EVT_F01_JAR_ROOM,CHOICE_EVT_F01_JAR_ROOM_CRACKED,6,"항아리는 텅 비어있었다. 화가 치밀어 올라, 항아리를 박살내버렸다. 아직도 화가 풀리지 않았다.",3번의 전투 데미지 버프,,
EVT_F01_PRIEST_BODY,body,EVT_F01_PRIEST,,7,몸의 절반이 노란빛 결정에 파묻힌 사제가 보인다. 인자한 미소는 낯선 공간을 따뜻하게 채우고 있는 듯 하다.,,기도실,"사제NPC 등장
event_Priest"
CHOICE_EVT_F01_PRIEST_PRAY_TEXT,choiceLabel,EVT_F01_PRIEST,CHOICE_EVT_F01_PRIEST_PRAY,8,함께 기도한다.,체력 완전 회복,,
CHOICE_EVT_F01_PRIEST_PRAY_RESULT,resultText,EVT_F01_PRIEST,CHOICE_EVT_F01_PRIEST_PRAY,8,"무릎을 꿇고, 아무렇게나 기도를 올렸다. 잠깐의 침묵이 지나자, 몸의 상처가 모두 나았다! 정신도 맑아 진 듯 하다.",체력 완전 회복,,
CHOICE_EVT_F01_PRIEST_ASK_TEACHING_TEXT,choiceLabel,EVT_F01_PRIEST,CHOICE_EVT_F01_PRIEST_ASK_TEACHING,9,가르침을 구한다,다음 전투 (코스트 관련) 버프  + 강화,,
CHOICE_EVT_F01_PRIEST_ASK_TEACHING_RESULT,resultText,EVT_F01_PRIEST,CHOICE_EVT_F01_PRIEST_ASK_TEACHING,9,"다음은 어디로 나아가는것이 좋은지 물었다. 사제는 말이 없지만, 사제를 비추고 있던 빛이 문을 향했다. 빛의 방향대로 지체없이 나아가기로 했다.",다음 전투 (코스트 관련) 버프  + 강화,,
CHOICE_EVT_F01_PRIEST_ATTACK_TEXT,choiceLabel,EVT_F01_PRIEST,CHOICE_EVT_F01_PRIEST_ATTACK,10,공격한다,디버프 + 유물,,
