step,cumulative_reward,episode_length,entropy,policy_loss,value_loss,episode_attack_share,episode_defend_share,episode_skill_share,win_proxy
1000,1.413884,3.462222,1.098530,,,0.361594,0.278049,0.360356,0.973333
2000,1.424250,3.158333,1.089672,0.110101,0.770925,0.389350,0.225947,0.384702,0.966667
3000,1.527306,2.690037,1.051349,0.083595,0.302147,0.388693,0.141487,0.469821,0.992620
4000,1.548790,2.551601,0.988686,0.095739,0.045225,0.380342,0.120776,0.498882,0.996441
5000,1.579164,2.344482,0.921263,0.099265,0.035593,0.332497,0.078094,0.589409,1.000000
6000,1.588220,2.236246,0.850720,0.100473,0.007257,0.340453,0.054693,0.604854,1.000000
7000,1.594525,2.170886,0.797330,0.105041,0.005160,0.323998,0.038608,0.637395,1.000000
8000,1.597134,2.109034,0.745057,0.095740,0.004014,0.311215,0.025078,0.663707,1.000000
9000,1.600155,2.102167,0.711208,0.102477,0.002944,0.293292,0.023839,0.682869,1.000000
10000,1.605229,2.055046,0.694268,0.085797,0.002871,0.266310,0.013761,0.719929,1.000000
