step,cumulative_reward,episode_length,entropy,policy_loss,value_loss,episode_attack_share,episode_defend_share,episode_skill_share,episode_skill_blocked_share,win_proxy,damage_prevented_per_step,enemy_damage_per_step,player_damage_per_step
1000,1.487748,3.497758,1.020534,,,0.422817,0.291133,0.286051,0.000000,0.928251,1.161515,4.861416,3.586241
2000,1.590380,3.206751,1.016568,0.083191,1.170328,0.455666,0.244465,0.299869,0.000000,0.970464,0.988967,5.246740,3.646941
3000,1.591967,3.192469,0.978622,0.084338,0.294521,0.460321,0.230883,0.308797,0.000000,0.970711,0.949102,5.283433,3.635729
4000,1.661282,2.655678,0.934028,0.105769,0.180223,0.568725,0.137581,0.293694,0.000000,0.996337,0.581162,6.061122,3.776553
5000,1.677758,2.569395,0.882164,0.100539,0.040097,0.554745,0.123665,0.321590,0.000000,1.000000,0.524427,6.256231,3.795613
6000,1.667397,2.421233,0.860869,0.078392,0.007772,0.607877,0.089041,0.303082,0.000000,0.996575,0.388388,6.506506,3.904905
7000,1.681873,2.344482,0.820221,0.100149,0.025474,0.614556,0.076493,0.308950,0.000000,1.000000,0.327000,6.654000,3.875000
8000,1.680594,2.300330,0.790253,0.095257,0.004028,0.628988,0.062486,0.308526,0.000000,1.000000,0.268000,6.746000,3.909000
9000,1.686226,2.222581,0.768730,0.100662,0.004122,0.625914,0.044677,0.329409,0.000000,1.000000,0.200200,6.916917,3.907908
10000,1.670228,2.263844,0.753930,0.089901,0.003554,0.634528,0.056189,0.309283,0.000000,1.000000,0.245509,6.770459,3.965070
