tag,first_step,first_value,last_step,last_value,points
Policy/Entropy,1000,0.981748,10000,0.840414,10
HwigiTraining/ActionAttack,1000,0.371884,10000,0.424424,10
HwigiTraining/ActionDefend,1000,0.390828,10000,0.288288,10
HwigiTraining/ActionSkill,1000,0.237288,10000,0.287287,10
HwigiTraining/SkillReady,1000,0.711864,10000,0.611612,10
HwigiTraining/SkillBlocked,1000,0.000000,10000,0.000000,10
HwigiTraining/SkillWasted,1000,0.051844,10000,0.071071,10
HwigiTraining/DefendSucceeded,1000,0.390828,10000,0.288288,10
HwigiTraining/TempoBonusTriggered,1000,0.166500,10000,0.234234,10
HwigiTraining/EnemyThreatHigh,1000,0.326022,10000,0.306306,10
HwigiTraining/EnemyDamagePerStep,1000,5.655035,10000,6.785786,10
HwigiTraining/PlayerDamagePerStep,1000,4.298106,10000,4.099099,10
HwigiTraining/DamagePreventedPerStep,1000,1.979063,10000,1.720721,10
Environment/Episode Length,1000,3.379913,10000,2.948617,10
HwigiTraining/Win,1000,0.816594,10000,0.988142,10
HwigiTraining/Loss,1000,0.183406,10000,0.011858,10
HwigiTraining/Timeout,1000,0.000000,10000,0.000000,10
HwigiTraining/EpisodeLength,1000,5.379913,10000,4.948617,10
HwigiTraining/FinalPlayerHpRatio,1000,0.231623,10000,0.325922,10
HwigiTraining/FinalEnemyHpRatio,1000,0.027789,10000,0.000539,10
HwigiTraining/EpisodeAttackShare,1000,0.406100,10000,0.436213,10
HwigiTraining/EpisodeDefendShare,1000,0.348324,10000,0.269650,10
HwigiTraining/EpisodeSkillShare,1000,0.245576,10000,0.294137,10
HwigiTraining/EpisodeSkillBlockedShare,1000,0.000000,10000,0.000000,10
HwigiTraining/SkillWastedPerEpisode,1000,0.227074,10000,0.280632,10
HwigiTraining/DefendSuccessRate,1000,0.834061,10000,0.841897,10
HwigiTraining/TempoBonusTriggeredPerEpisode,1000,0.729258,10000,0.924901,10
HwigiTraining/ActionDiversity,1000,0.876274,10000,0.919631,10
Policy/Extrinsic Value Estimate,1000,-0.002128,10000,1.497233,10
Environment/Cumulative Reward,1000,1.431733,10000,1.855968,10
Policy/Extrinsic Reward,1000,1.431733,10000,1.855968,10
Losses/Policy Loss,2000,0.090884,10000,0.091035,9
Losses/Value Loss,2000,1.309038,10000,0.180936,9
Policy/Learning Rate,2000,0.000269,10000,0.000023,9
Policy/Epsilon,2000,0.189750,10000,0.107660,9
Policy/Beta,2000,0.000450,10000,0.000048,9
